x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;;;;x;;;pa;x;k;;;x;x;x;x;x;x;x;x;x;x;x;;;;;;x;;;;t;;203;;d;;;202;p;;;;x;;;;x;;d;;275;;x;;;;fp;;;k;x;x;x
x;;;257;x;;x;x;x;225;;225;x;x;x;x;x;x;x;x;x;x;x;;;he;;273;x;;x;;x;203;;203;x;202;;;x;x;x;fp;x;;he;;x;;x;275;;275;x;;x;x;x;x;x;x;x;x;x
x;;257;;x;;;;d;;225;;x;k;;;244;;t;;240;;x;;;;273;;d;;x;;x;;203;;x;;;202;a;;;;x;;;279;a;;x;;275;;x;;x;;;;x;x;x;x;x
x;x;x;d;x;x;x;x;x;x;x;t;x;;;;;244;x;240;;240;x;273;;;;273;x;x;x;l;x;d;x;x;x;x;x;x;x;x;x;x;x;279;;;x;x;x;x;x;t;x;;x;;;;x;x;x;x;x
x;x;x;;239;;x;;;;283;;x;;;;244;;x;;240;;d;;273;;;273;p;201;201;;201;;201;;;pi;;;;;201;;d;279;279;;x;;;;x;;;;x;;;;x;x;x;x;x
x;x;x;239;;;x;;;;;283;x;x;x;x;x;d;x;x;x;x;x;x;x;x;x;x;x;201;;201;;201;;k;;pi;;201;;;;201;x;p;x;x;x;;x;x;x;x;x;sw;x;;;;x;x;x;x;x
x;x;x;;;239;x;283;;;283;;d;;278;;x;;x;;;;d;;221;;x;x;x;;201;;201;;201;;;pi;201;;201;;201;;x;249;;;x;;;;;;;;x;252;;;x;x;x;x;x
x;x;x;x;x;a;x;a;x;x;x;x;x;278;;278;x;d;x;x;x;x;x;221;;;x;x;x;l;x;x;x;l;x;x;x;x;x;d;x;x;x;l;x;249;;249;x;x;x;x;x;x;x;;x;a;x;x;x;x;x;x;x
x;;;;;;x;;;sp;;;d;;278;;x;;242;;242;;s;;221;;x;x;x;;266;;x;;std;std;x;;204;;x;;261;;x;;249;;x;;270;;l;;x;;;;x;x;x;x;x;x;x
x;pa;x;x;x;x;x;x;x;x;x;a;x;x;x;t;x;242;;;;242;x;221;;;x;x;x;266;;;x;h;x;x;x;204;;204;x;261;;261;x;d;x;l;x;;;270;x;;x;x;x;x;x;x;x;x;x;x;x
x;;;;d;;234;;d;;222;222;x;x;x;;x;k;;;;;x;221;;;x;;a;266;;;x;;;;d;;204;;x;;261;;x;;x;;x;270;;;x;wb;d;;236;;;;x;x;x;x;x
