x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;pa;x;;;;48;;s;;;;sw;;;;;;d;;56;;x;;;;x;;;;sw;;;;;;;;;sp;;;;;;;;;;;;;;;;;x;x;x;;x;x;x;x;x
x;;x;;;;;48;x;x;x;x;x;x;x;t;x;x;x;56;k;;x;;;;x;;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;;;x;x;k;x
x;;x;;;;;48;p;16;;;x;;43;;x;x;x;;;;x;;;;x;;l;;24;;x;;x;x;x;x;x;x;x;x;x;k;x;x;x;;;;fp;;;;;;t;;44;;;;x;;x
x;;x;x;x;x;x;x;x;16;;;x;;;43;x;x;x;x;x;x;x;77;;77;x;;x;24;;;x;;x;x;x;x;x;x;x;x;;;;x;x;;x;x;x;x;x;x;x;x;x;x;;;;x;x;fp;x
x;;pi;;;;;;d;;16;;x;he;43;;d;;;;;;d;;77;;x;;x;;;k;x;;;;;;;;d;;50;;;;x;;;;;;x;;;;x;x;x;k;x;x;x;;x
x;x;x;x;x;s;x;x;x;16;;;x;x;x;x;x;x;x;x;x;x;x;x;x;d;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;x;x;x;x;x;x;x;x;38;;;x;x;x;x;x;x;x;;x
x;x;x;x;x;;33;;x;;;16;x;pa;;;;;;;t;;15;;x;;;;x;;;;pi;;;;pi;;;;x;x;x;;50;;l;;37;;d;;l;;38;;x;;x;;;;x;;x
x;x;x;x;x;33;;;x;x;x;p;x;x;x;x;x;l;x;x;x;15;;;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;37;;37;x;;x;x;x;x;x;;x;;x;;x;;x
x;;;pa;x;;;33;p;5;;5;x;;;;x;;83;;x;;;;x;x;x;x;x;;x;;;;;;x;;;;;wb;;;;;x;;;;x;;;;;;;;;;x;;x;;x
x;;x;;x;x;x;x;x;;;;x;4;;4;x;83;;83;x;;;;x;x;x;x;x;t;x;;;;;;x;x;x;x;x;x;x;x;x;;x;;;37;x;;x;x;x;x;x;x;x;;x;;x;;x
x;sp;x;;;;;;a;5;;5;x;;4;;t;;83;;x;;k;;x;;;;58;;x;k;;;;12;a;74;74;;d;;86;;x;fp;x;;37;;x;;x;;70;;l;;x;;x;sw;x;wb;x
x;;x;x;x;x;x;x;x;x;x;p;x;d;x;x;x;x;x;s;x;x;x;x;x;he;;;;58;x;x;x;x;x;x;x;;;74;x;86;;86;x;;x;x;x;l;x;x;x;;;70;x;;x;x;x;;x;;x
x;;;;d;;8;;x;x;x;1;1;;x;x;x;;2;;x;;;;x;;;;58;;x;x;x;x;x;x;x;;;;x;;86;;x;;x;x;x;;20;;x;70;;;x;;;;;;x;;x
x;;x;x;x;8;;8;x;x;;;;1;;x;x;2;;2;x;;x;;x;x;x;x;x;t;x;x;x;x;x;x;x;x;x;x;x;x;x;d;x;;x;x;x;20;;;x;p;x;x;x;d;x;x;x;x;x;;x
x;pi;x;x;x;he;8;;d;;1;;;;;;x;;2;;x;;x;fp;x;x;x;x;x;;40;;;;x;;;;x;x;x;he;x;;x;;x;x;x;k;;;x;;x;;63;;d;;36;;x;;x
x;x;x;x;x;x;x;x;x;1;;;;;;1;x;d;x;x;x;;x;;x;x;x;x;x;40;;;;;x;wb;x;x;x;x;;;;53;x;;x;x;x;x;x;x;x;;x;;;63;x;36;;;x;;x
d;;;;d;;9;;t;;1;;;;1;;d;;3;;l;;x;;;;;;a;40;;;;;x;;;;a;53;;;;;x;;x;;;;;;;;x;;;;x;;36;;x;;x
x;;;;x;9;;9;x;x;;1;;;;x;x;3;;3;x;x;x;x;x;x;x;x;x;40;;;;;x;x;x;x;x;x;;53;;x;x;;x;wb;x;;x;x;x;x;x;x;x;x;x;d;x;x;x;;x
x;;;;x;;9;;x;x;x;;1;;x;x;x;;3;;x;;;;;;;;x;;40;40;;k;x;;;;x;x;x;;x;x;x;;;;x;;x;;71;;t;;x;;80;;80;;x;;x
x;;;;x;x;x;p;x;x;x;t;x;x;x;x;x;x;x;d;x;d;x;;x;x;x;a;x;d;x;a;x;x;x;;;;x;x;x;d;x;x;x;x;x;x;x;;x;;;71;x;;x;;;80;;;x;;x
x;;;;d;;26;26;x;;7;;x;;k;;x;sw;x;;47;;x;wb;x;pa;x;;79;;x;;42;;x;;;;x;;;;x;x;x;x;x;;;;x;71;;;x;fp;x;;;80;;;x;;x
x;x;x;t;x;26;;26;x;7;;7;x;;;6;x;;x;47;;47;x;;x;;x;79;;79;x;42;k;42;x;17;;;x;fp;x;x;x;x;x;x;x;;x;x;x;a;x;x;x;;x;x;x;a;x;x;x;wb;x
x;;54;54;p;26;26;;d;;7;;x;6;6;;l;;x;;47;;x;;;;d;;79;;x;;42;;d;;17;17;x;;;;;;;sp;;;x;he;;18;x;;;;x;;;32;x;;;;x
x;;;54;x;x;x;x;x;x;x;x;x;a;x;s;x;x;x;x;x;t;x;;x;x;x;x;x;x;x;42;;42;x;x;x;a;x;x;x;;x;x;x;x;x;x;x;;;;x;;x;;x;;;;x;;x;x;x
x;;54;54;p;22;;;;;x;he;;;x;;45;;x;;85;;x;;x;;;;x;x;x;;42;;d;;x;88;;;x;;;;;;;pa;x;;;;x;;x;;x;;;;x;;;;x
x;x;x;t;x;;;;;;x;x;x;x;x;45;;;x;;;85;x;;x;;;25;x;x;x;d;x;x;x;;x;88;;88;x;x;x;x;x;x;x;x;x;18;;18;x;;x;;x;x;x;x;x;x;x;;x
x;;52;;x;;;;;;x;;26;;s;;45;;x;85;;;x;;x;;25;;d;;x;;;pa;;;x;;88;;t;;;;;;;;t;;18;;x;pa;x;;;;;sw;;;x;;x
x;;;52;x;;k;;;;x;;;26;x;45;;;x;a;x;x;x;;x;x;x;x;x;d;x;x;x;x;x;;x;s;x;x;x;x;x;x;x;x;x;x;x;s;x;d;x;x;x;x;x;x;x;x;x;;x;;x
x;;52;;x;;;;;22;p;26;;;x;;;;x;76;;76;p;;sp;;;;x;;57;;x;;;;;;x;;;;x;;;;;;x;;x;;46;46;p;30;30;;d;;x;;;;x
x;x;x;d;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;76;x;x;x;x;x;;x;57;;57;x;x;x;x;x;;x;68;;68;x;75;;75;;75;x;;x;46;;;x;;;30;x;;x;x;x;x;x
x;;wb;;x;;;;;;;wb;;;;;;;x;he;76;;x;;;;x;;d;;57;;t;;28;;x;he;x;;68;;t;;75;;75;;x;;x;;;46;x;k;;;x;;x;;;;x
x;x;x;d;x;;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;d;x;;x;;x;x;x;x;x;x;x;28;;;x;;x;s;x;x;x;x;x;t;x;d;x;x;x;x;x;a;x;x;x;x;x;;x;;;35;x
x;;69;;x;;d;;41;;x;x;x;x;x;;;;x;;;;x;;x;;;;sw;;;;x;;28;;x;;;;x;;;;x;;x;;51;;x;;;;;;x;;;;x;;35;;x
